date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200,MA50-1,MA200-1,golden-cross-1,golden-cross-0,golden-cross
2017-02-13,1486944000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,,,,,,False,False,False
2017-02-14,1487030400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,,,,,,False,False,False
2017-02-15,1487116800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,,,,,,False,False,False
2017-02-16,1487203200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,,,,,,False,False,False
2017-02-17,1487289600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,,,False,False,False
2017-02-20,1487548800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-02-21,1487635200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-02-22,1487721600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-02-23,1487808000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-02-24,1487894400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-02-27,1488153600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-02-28,1488240000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-01,1488326400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-02,1488412800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-03,1488499200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-06,1488758400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-07,1488844800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-08,1488931200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-09,1489017600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-10,1489104000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-13,1489363200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-14,1489449600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-15,1489536000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-16,1489622400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-17,1489708800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-20,1489968000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-21,1490054400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-22,1490140800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-23,1490227200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-24,1490313600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-27,1490572800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-28,1490659200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-29,1490745600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-30,1490832000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-03-31,1490918400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-03,1491177600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-04,1491264000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-05,1491350400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-07,1491523200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-10,1491782400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-11,1491868800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-12,1491955200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-13,1492041600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-14,1492128000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-17,1492387200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-18,1492473600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-19,1492560000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-20,1492646400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-21,1492732800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-24,1492992000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-25,1493078400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-26,1493164800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-27,1493251200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-04-28,1493337600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,,,6.85,,False,False,False
2017-05-03,1493769600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-04,1493856000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-05,1493942400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-08,1494201600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-09,1494288000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-10,1494374400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-11,1494460800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-12,1494547200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-15,1494806400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-16,1494892800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-17,1494979200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-18,1495065600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-19,1495152000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-22,1495411200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-23,1495497600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-24,1495584000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-25,1495670400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-26,1495756800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-29,1496016000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-30,1496102400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-05-31,1496188800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-01,1496275200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-02,1496361600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-05,1496620800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-06,1496707200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-07,1496793600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-08,1496880000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-09,1496966400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-12,1497225600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-13,1497312000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-14,1497398400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-15,1497484800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-16,1497571200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-19,1497830400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-20,1497916800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-21,1498003200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-22,1498089600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-23,1498176000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-26,1498435200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-27,1498521600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-28,1498608000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-29,1498694400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-06-30,1498780800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-07-03,1499040000,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-07-04,1499126400,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-07-05,1499212800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-07-06,1499299200,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-07-07,1499385600,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
2017-07-10,1499644800,6.852,6.852,6.852,6.852,0,6.852,0.0,0.0,6.852,6.852,6.852,0.0,0.0,-1,6.85,6.85,6.85,6.85,6.85,,6.85,,False,False,False
